s,x,y,heading
10.89739025,0.01664396,4.30110029,2.80664382
10.91215636,0.00259764,4.30595914,2.81054145
10.92692248,-0.01146853,4.31076045,2.81483840
10.94168859,-0.02555505,4.31549871,2.81941112
10.95645470,-0.03966202,4.32017278,2.82379341
10.97122081,-0.05378901,4.32478790,2.82785644
10.98598692,-0.06793597,4.32934556,2.83206566
11.00075303,-0.08210318,4.33384066,2.83671314
11.01551914,-0.09629098,4.33826683,2.84170566
11.03028526,-0.11049948,4.34262194,2.84654637
11.04505137,-0.12472842,4.34691142,2.85100595
11.05981748,-0.13897781,4.35113794,2.85556082
11.07458359,-0.15324772,4.35529638,2.86059234
11.08934970,-0.16753822,4.35937939,2.86604336
11.10411581,-0.18184936,4.36338376,2.87139726
11.11888192,-0.19618107,4.36731483,2.87631008
11.13364804,-0.21053353,4.37117670,2.88125073
11.14841415,-0.22490658,4.37496432,2.88670350
11.16318026,-0.23929993,4.37866942,2.89265504
11.17794637,-0.25371343,4.38228746,2.89858169
